20.0,0.0
20.1,4.0
20.2,14.0
20.3,19.0
20.4,10.0
20.5,2.0
20.6,0.0
20.7,0.0
20.8,0.0
20.9,0.0
21.0,0.0
21.1,0.0
21.2,1.0
21.3,14.0
21.4,85.0
21.5,213.0
21.6,211.0
21.7,84.0
21.8,13.0
21.9,1.0
22.0,0.0
22.1,0.0
22.2,0.0
22.3,0.0
22.4,0.0
22.5,0.0
22.6,0.0
22.7,0.0
22.8,1.0
22.9,5.0
23.0,10.0
23.1,8.0
23.2,2.0
23.3,0.0
23.4,0.0
23.5,0.0
23.6,0.0
23.7,0.0
23.8,0.0
23.9,0.0
24.0,0.0
24.1,0.0
24.2,0.0
24.3,0.0
24.4,0.0
24.5,5.0
24.6,37.0
24.7,110.0
24.8,129.0
24.9,59.0
25.0,11.0
25.1,1.0
25.2,0.0
25.3,0.0
25.4,0.0
25.5,0.0
25.6,0.0
25.7,0.0
25.8,0.0
25.9,0.0
26.0,0.0
26.1,0.0
26.2,0.0
26.3,0.0
26.4,1.0
26.5,7.0
26.6,29.0
26.7,46.0
26.8,28.0
26.9,7.0
27.0,1.0
27.1,0.0
27.2,0.0
27.3,0.0
27.4,0.0
27.5,0.0
27.6,0.0
27.7,0.0
27.8,0.0
27.9,0.0
28.0,0.0
28.1,0.0
28.2,0.0
28.3,0.0
28.4,1.0
28.5,9.0
28.6,36.0
28.7,58.0
28.8,35.0
28.9,8.0
29.0,1.0
29.1,0.0
29.2,0.0
29.3,0.0
29.4,0.0
29.5,0.0
29.6,0.0
29.7,0.0
29.8,0.0
29.9,0.0
30.0,0.0
30.1,0.0
30.2,0.0
30.3,0.0
30.4,0.0
30.5,0.0
30.6,0.0
30.7,0.0
30.8,1.0
30.9,2.0
31.0,1.0
31.1,0.0
31.2,0.0
31.3,0.0
31.4,0.0
31.5,0.0
31.6,0.0
31.7,0.0
31.8,0.0
31.9,0.0
32.0,0.0
32.1,0.0
32.2,0.0
32.3,0.0
32.4,1.0
32.5,10.0
32.6,155.0
32.7,1180.0
32.8,3823.0
32.9,5302.0
33.0,3135.0
33.1,829.0
33.2,192.0
33.3,80.0
33.4,20.0
33.5,2.0
33.6,0.0
33.7,0.0
33.8,0.0
33.9,0.0
34.0,84.0
34.1,874.0
34.2,3492.0
34.3,5329.0
34.4,3099.0
34.5,685.0
34.6,57.0
34.7,0.0
34.8,0.0
34.9,0.0
35.0,0.0
35.1,2.0
35.2,7.0
35.3,10.0
35.4,8.0
35.5,6.0
35.6,4.0
35.7,1.0
35.8,0.0
35.9,0.0
36.0,0.0
36.1,0.0
36.2,0.0
36.3,0.0
36.4,0.0
36.5,0.0
36.6,0.0
36.7,0.0
36.8,0.0
36.9,0.0
37.0,0.0
37.1,0.0
37.2,0.0
37.3,0.0
37.4,0.0
37.5,3.0
37.6,18.0
37.7,45.0
37.8,52.0
37.9,72.0
38.0,117.0
38.1,95.0
